match_id,source_match_id,source,competition,season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
FTE-01575,7141-20220610-1575,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Moldova,Latvia,2,4,1.45,2.33
FTE-01576,7141-20220610-1576,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Azerbaijan,Slovakia,0,1,0.59,0.71
FTE-01577,7141-20220610-1577,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Denmark,Croatia,0,1,0.65,0.89
FTE-01578,7141-20220610-1578,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Albania,Israel,1,2,1.16,1.38
FTE-01579,7141-20220610-1579,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Austria,France,1,1,0.63,2.23
FTE-01580,7141-20220610-1580,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Andorra,Liechtenstein,2,1,1.15,0.27
FTE-01581,7141-20220610-1581,five_thirty_eight,UEFA Nations League,2022,2022-06-10 00:00:00+00:00,Belarus,Kazakhstan,1,1,1.59,1.29
FTE-01582,7941-20220610-1582,five_thirty_eight,CONCACAF Nations League,2022,2022-06-10 00:00:00+00:00,USA,Grenada,5,0,3.5,0.07
FTE-01593,1929-20220611-1593,five_thirty_eight,International Match,2022,2022-06-11 00:00:00+00:00,Uruguay,Panama,5,0,3.08,0.17
FTE-01594,1929-20220611-1594,five_thirty_eight,International Match,2022,2022-06-11 00:00:00+00:00,Ecuador,Mali,1,0,1.43,0.09
FTE-01583,7141-20220611-1583,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Ukraine,Armenia,3,0,1.0,0.2
FTE-01584,7141-20220611-1584,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Iceland,Scotland,3,0,1.07,0.5
FTE-01585,7141-20220611-1585,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Faroe Islands,Lithuania,2,1,1.72,0.61
FTE-01586,7141-20220611-1586,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Montenegro,Bosnia and Herzegovina,1,1,0.74,0.93
FTE-01587,7141-20220611-1587,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Netherlands,Poland,2,2,2.82,0.63
FTE-01588,7141-20220611-1588,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Hungary,Germany,1,1,1.7,0.76
FTE-01589,7141-20220611-1589,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Romania,Finland,1,0,2.03,2.09
FTE-01590,7141-20220611-1590,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,England,Italy,0,0,1.85,1.1
FTE-01591,7141-20220611-1591,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Luxembourg,Turkey,0,2,0.37,2.52
FTE-01592,7141-20220611-1592,five_thirty_eight,UEFA Nations League,2022,2022-06-11 00:00:00+00:00,Wales,Belgium,1,1,2.17,1.8
FTE-01595,7941-20220611-1595,five_thirty_eight,CONCACAF Nations League,2022,2022-06-11 00:00:00+00:00,Mexico,Suriname,3,0,3.11,0.23
FTE-01596,7141-20220612-1596,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Northern Ireland,Cyprus,2,2,3.31,0.88
FTE-01597,7141-20220612-1597,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Norway,Sweden,3,2,2.35,1.24
FTE-01598,7141-20220612-1598,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Georgia,Bulgaria,0,0,1.58,0.06
FTE-01599,7141-20220612-1599,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,North Macedonia,Gibraltar,4,0,2.54,0.24
FTE-01600,7141-20220612-1600,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Slovenia,Serbia,2,2,0.5,1.71
FTE-01601,7141-20220612-1601,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Spain,Czech Republic,2,0,2.12,0.56
FTE-01602,7141-20220612-1602,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Malta,San Marino,1,0,2.07,0.23
FTE-01603,7141-20220612-1603,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Greece,Kosovo,2,0,0.97,0.18
FTE-01604,7141-20220612-1604,five_thirty_eight,UEFA Nations League,2022,2022-06-12 00:00:00+00:00,Switzerland,Portugal,1,0,0.45,1.65
FTE-01605,7941-20220612-1605,five_thirty_eight,CONCACAF Nations League,2022,2022-06-12 00:00:00+00:00,Martinique,Panama,0,0,0.3,1.01
FTE-01608,4401-20220613-1608,five_thirty_eight,FIFA World Cup AFC/CONMEBOL Qualifying,2022,2022-06-13 00:00:00+00:00,Australia,Peru,0,0,0.46,0.94
FTE-01613,4402-20220613-1613,five_thirty_eight,FIFA World Cup CONCACAF/OFC Qualifying,2022,2022-06-13 00:00:00+00:00,Costa Rica,New Zealand,1,0,0.26,1.34
FTE-01606,7141-20220613-1606,five_thirty_eight,UEFA Nations League,2022,2022-06-13 00:00:00+00:00,Kazakhstan,Slovakia,2,1,0.39,0.76
FTE-01607,7141-20220613-1607,five_thirty_eight,UEFA Nations League,2022,2022-06-13 00:00:00+00:00,Azerbaijan,Belarus,2,0,1.23,2.04
FTE-01609,7141-20220613-1609,five_thirty_eight,UEFA Nations League,2022,2022-06-13 00:00:00+00:00,France,Croatia,0,1,1.14,0.88
FTE-01610,7141-20220613-1610,five_thirty_eight,UEFA Nations League,2022,2022-06-13 00:00:00+00:00,Iceland,Israel,2,2,1.38,1.33
FTE-01611,7141-20220613-1611,five_thirty_eight,UEFA Nations League,2022,2022-06-13 00:00:00+00:00,Denmark,Austria,2,0,1.64,0.4
FTE-01612,7941-20220613-1612,five_thirty_eight,CONCACAF Nations League,2022,2022-06-13 00:00:00+00:00,Honduras,Canada,2,1,0.52,0.89
FTE-01614,1929-20220614-1614,five_thirty_eight,International Match,2022,2022-06-14 00:00:00+00:00,South Korea,Egypt,4,1,1.28,0.39
FTE-01615,7141-20220614-1615,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Moldova,Andorra,2,1,2.44,0.25
FTE-01616,7141-20220614-1616,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Armenia,Scotland,1,4,1.69,1.55
FTE-01617,7141-20220614-1617,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Luxembourg,Faroe Islands,2,2,2.1,1.44
FTE-01618,7141-20220614-1618,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Netherlands,Wales,3,2,1.58,1.16
FTE-01619,7141-20220614-1619,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Ukraine,Iceland,1,1,1.09,0.59
FTE-01620,7141-20220614-1620,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Liechtenstein,Latvia,0,2,0.05,4.09
FTE-01621,7141-20220614-1621,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Turkey,Lithuania,2,0,3.78,0.32
FTE-01622,7141-20220614-1622,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Poland,Belgium,0,1,0.79,1.08
FTE-01623,7141-20220614-1623,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,England,Hungary,0,4,1.0,1.18
FTE-01624,7141-20220614-1624,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Bosnia and Herzegovina,Finland,3,2,1.79,1.19
FTE-01625,7141-20220614-1625,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Romania,Montenegro,0,3,0.55,0.95
FTE-01626,7141-20220614-1626,five_thirty_eight,UEFA Nations League,2022,2022-06-14 00:00:00+00:00,Germany,Italy,5,2,3.51,1.84
FTE-01627,7941-20220614-1627,five_thirty_eight,CONCACAF Nations League,2022,2022-06-14 00:00:00+00:00,Jamaica,Mexico,1,1,0.82,1.79
FTE-01628,7941-20220614-1628,five_thirty_eight,CONCACAF Nations League,2022,2022-06-14 00:00:00+00:00,El Salvador,USA,1,1,0.11,0.95
FTE-01629,1929-20220826-1629,five_thirty_eight,International Match,2022,2022-08-26 00:00:00+00:00,Qatar,Jamaica,1,1,2.36,0.18
FTE-01630,1929-20220831-1630,five_thirty_eight,International Match,2022,2022-08-31 00:00:00+00:00,Mexico,Paraguay,0,1,1.88,0.42
FTE-01631,7141-20220921-1631,five_thirty_eight,UEFA Nations League,2022,2022-09-21 00:00:00+00:00,Scotland,Ukraine,3,0,2.61,0.1
FTE-01632,1929-20220922-1632,five_thirty_eight,International Match,2022,2022-09-22 00:00:00+00:00,Australia,New Zealand,1,0,1.09,0.76
FTE-01633,7141-20220922-1633,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Kazakhstan,Belarus,2,1,1.25,0.84
FTE-01634,7141-20220922-1634,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Latvia,Moldova,1,2,1.41,0.72
FTE-01635,7141-20220922-1635,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,France,Austria,2,0,3.22,0.13
FTE-01636,7141-20220922-1636,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Croatia,Denmark,2,1,0.62,0.44
FTE-01637,7141-20220922-1637,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Belgium,Wales,2,1,2.74,0.65
FTE-01638,7141-20220922-1638,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Lithuania,Faroe Islands,1,1,0.7,0.76
FTE-01639,7141-20220922-1639,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Liechtenstein,Andorra,0,2,0.09,1.08
FTE-01640,7141-20220922-1640,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Poland,Netherlands,0,2,0.65,1.24
FTE-01641,7141-20220922-1641,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Turkey,Luxembourg,3,3,3.63,1.19
FTE-01642,7141-20220922-1642,five_thirty_eight,UEFA Nations League,2022,2022-09-22 00:00:00+00:00,Slovakia,Azerbaijan,1,2,2.37,0.96
