match_id,date,stage,round,group,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral
HIST-00042,2018-03-22 00:00:00+00:00,historical,historical,,Slovakia,United Arab Emirates,2,1,Friendly,Bangkok,Thailand,True
HIST-00043,2018-03-22 00:00:00+00:00,historical,historical,,Thailand,Gabon,0,0,Friendly,Bangkok,Thailand,False
HIST-00044,2018-03-23 00:00:00+00:00,historical,historical,,Austria,Slovenia,3,0,Friendly,Klagenfurt,Austria,False
HIST-00045,2018-03-23 00:00:00+00:00,historical,historical,,Azerbaijan,Belarus,0,1,Friendly,Baku,Azerbaijan,False
HIST-00046,2018-03-23 00:00:00+00:00,historical,historical,,Bulgaria,Bosnia and Herzegovina,0,1,Friendly,Razgrad,Bulgaria,False
HIST-00047,2018-03-23 00:00:00+00:00,historical,historical,,Curaçao,Bolivia,1,1,Friendly,Willemstad,Curaçao,False
HIST-00048,2018-03-23 00:00:00+00:00,historical,historical,,Cyprus,Montenegro,0,0,Friendly,Nicosia,Cyprus,False
HIST-00049,2018-03-23 00:00:00+00:00,historical,historical,,Finland,North Macedonia,0,0,Friendly,Belek,Turkey,True
HIST-00050,2018-03-23 00:00:00+00:00,historical,historical,,France,Colombia,2,3,Friendly,Saint-Denis,France,False
HIST-00051,2018-03-23 00:00:00+00:00,historical,historical,,Gambia,Central African Republic,1,1,Friendly,Bakau,Gambia,False
HIST-00052,2018-03-23 00:00:00+00:00,historical,historical,,Germany,Spain,1,1,Friendly,Düsseldorf,Germany,False
HIST-00053,2018-03-23 00:00:00+00:00,historical,historical,,Greece,Switzerland,0,1,Friendly,Athens,Greece,False
HIST-00054,2018-03-23 00:00:00+00:00,historical,historical,,Guadeloupe,Trinidad and Tobago,0,1,Friendly,Les Abymes,Guadeloupe,False
HIST-00055,2018-03-23 00:00:00+00:00,historical,historical,,Hungary,Kazakhstan,2,3,Friendly,Budapest,Hungary,False
HIST-00056,2018-03-23 00:00:00+00:00,historical,historical,,Italy,Argentina,0,2,Friendly,Manchester,England,True
HIST-00057,2018-03-23 00:00:00+00:00,historical,historical,,Japan,Mali,1,1,Friendly,Liège,Belgium,True
HIST-00058,2018-03-23 00:00:00+00:00,historical,historical,,Mexico,Iceland,3,0,Friendly,Santa Clara,United States,True
HIST-00059,2018-03-23 00:00:00+00:00,historical,historical,,Netherlands,England,0,1,Friendly,Amsterdam,Netherlands,False
HIST-00060,2018-03-23 00:00:00+00:00,historical,historical,,Norway,Australia,4,1,Friendly,Oslo,Norway,False
HIST-00061,2018-03-23 00:00:00+00:00,historical,historical,,Peru,Croatia,2,0,Friendly,Miami Gardens,United States,True
HIST-00062,2018-03-23 00:00:00+00:00,historical,historical,,Poland,Nigeria,0,1,Friendly,Wrocław,Poland,False
HIST-00063,2018-03-23 00:00:00+00:00,historical,historical,,Portugal,Egypt,2,1,Friendly,Zürich,Switzerland,True
HIST-00064,2018-03-23 00:00:00+00:00,historical,historical,,Russia,Brazil,0,3,Friendly,Moscow,Russia,False
HIST-00065,2018-03-23 00:00:00+00:00,historical,historical,,Scotland,Costa Rica,0,1,Friendly,Glasgow,Scotland,False
HIST-00066,2018-03-23 00:00:00+00:00,historical,historical,,Senegal,Uzbekistan,1,1,Friendly,Casablanca,Morocco,True
HIST-00067,2018-03-23 00:00:00+00:00,historical,historical,,Serbia,Morocco,1,2,Friendly,Turin,Italy,True
HIST-00068,2018-03-23 00:00:00+00:00,historical,historical,,Singapore,Maldives,3,2,Friendly,Kallang,Singapore,False
HIST-00069,2018-03-23 00:00:00+00:00,historical,historical,,Tunisia,Iran,1,0,Friendly,Radès,Tunisia,False
HIST-00070,2018-03-23 00:00:00+00:00,historical,historical,,Turkey,Republic of Ireland,1,0,Friendly,Antalya,Turkey,False
HIST-00071,2018-03-23 00:00:00+00:00,historical,historical,,Ukraine,Saudi Arabia,1,1,Friendly,Marbella,Spain,True
HIST-00072,2018-03-23 00:00:00+00:00,historical,historical,,Uruguay,Czech Republic,2,0,Friendly,Nanning,China,True
HIST-00073,2018-03-24 00:00:00+00:00,historical,historical,,Angola,Zimbabwe,2,2,Friendly,Ndola,Zambia,True
HIST-00074,2018-03-24 00:00:00+00:00,historical,historical,,Armenia,Estonia,0,0,Friendly,Yerevan,Armenia,False
HIST-00075,2018-03-24 00:00:00+00:00,historical,historical,,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,False
HIST-00076,2018-03-24 00:00:00+00:00,historical,historical,,Canada,New Zealand,1,0,Friendly,San Pedro del Pinatar,Spain,True
HIST-00077,2018-03-24 00:00:00+00:00,historical,historical,,Comoros,Kenya,2,2,Friendly,Marrakesh,Morocco,True
HIST-00078,2018-03-24 00:00:00+00:00,historical,historical,,Georgia,Lithuania,4,0,Friendly,Tbilisi,Georgia,False
HIST-00079,2018-03-24 00:00:00+00:00,historical,historical,,Israel,Romania,1,2,Friendly,Netanya,Israel,False
HIST-00080,2018-03-24 00:00:00+00:00,historical,historical,,Ivory Coast,Togo,2,2,Friendly,Beauvais,France,True
HIST-00081,2018-03-24 00:00:00+00:00,historical,historical,,Kosovo,Madagascar,1,0,Friendly,Franconville,France,True
HIST-00082,2018-03-24 00:00:00+00:00,historical,historical,,Mauritania,Guinea,2,0,Friendly,Nouakchott,Mauritania,False
HIST-00083,2018-03-24 00:00:00+00:00,historical,historical,,Northern Ireland,South Korea,2,1,Friendly,Belfast,Northern Ireland,False
HIST-00084,2018-03-24 00:00:00+00:00,historical,historical,,Qatar,Syria,2,2,Friendly,Basra,Iraq,True
HIST-00085,2018-03-24 00:00:00+00:00,historical,historical,,Sweden,Chile,1,2,Friendly,Solna,Sweden,False
HIST-00086,2018-03-24 00:00:00+00:00,historical,historical,,Tahiti,New Caledonia,4,3,Friendly,Pirae,Tahiti,False
HIST-00087,2018-03-24 00:00:00+00:00,historical,historical,,Uganda,São Tomé and Príncipe,3,1,Friendly,Kampala,Uganda,False
HIST-00088,2018-03-24 00:00:00+00:00,historical,historical,,Zambia,South Africa,0,2,Friendly,Ndola,Zambia,False
HIST-00089,2018-03-24 00:00:00+00:00,historical,historical,,Alderney,Guernsey,0,2,Muratti Vase,Alderney,Alderney,False
HIST-00090,2018-03-25 00:00:00+00:00,historical,historical,,Barbados,Bermuda,0,0,Friendly,Bridgetown,Barbados,False
HIST-00091,2018-03-25 00:00:00+00:00,historical,historical,,Dominican Republic,Saint Kitts and Nevis,2,1,Friendly,Santiago de los Caballeros,Dominican Republic,False
HIST-00092,2018-03-25 00:00:00+00:00,historical,historical,,Faroe Islands,Liechtenstein,3,0,Friendly,Marbella,Spain,True
HIST-00093,2018-03-25 00:00:00+00:00,historical,historical,,Gibraltar,Latvia,1,0,Friendly,Gibraltar,Gibraltar,False
HIST-00094,2018-03-25 00:00:00+00:00,historical,historical,,Jamaica,Antigua and Barbuda,1,1,Friendly,Kingston,Jamaica,False
HIST-00095,2018-03-25 00:00:00+00:00,historical,historical,,Kuwait,Cameroon,1,3,Friendly,Kuwait City,Kuwait,False
HIST-00096,2018-03-25 00:00:00+00:00,historical,historical,,Martinique,Trinidad and Tobago,0,0,Friendly,Fort-de-France,Martinique,False
HIST-00097,2018-03-25 00:00:00+00:00,historical,historical,,Nicaragua,Cuba,3,3,Friendly,Managua,Nicaragua,False
HIST-00098,2018-03-25 00:00:00+00:00,historical,historical,,Thailand,Slovakia,2,3,Friendly,Bangkok,Thailand,False
HIST-00099,2018-03-25 00:00:00+00:00,historical,historical,,Yorkshire,Chagos Islands,6,0,Friendly,Fitzwilliam,England,False
HIST-00100,2018-03-26 00:00:00+00:00,historical,historical,,Albania,Norway,0,1,Friendly,Elbasan,Albania,False
HIST-00101,2018-03-26 00:00:00+00:00,historical,historical,,Bulgaria,Kazakhstan,2,1,Friendly,Felcsút,Hungary,True
HIST-00102,2018-03-26 00:00:00+00:00,historical,historical,,China,Czech Republic,1,4,Friendly,Nanning,China,False
HIST-00103,2018-03-26 00:00:00+00:00,historical,historical,,Curaçao,Bolivia,1,0,Friendly,Willemstad,Curaçao,False
HIST-00104,2018-03-26 00:00:00+00:00,historical,historical,,Finland,Malta,5,0,Friendly,Belek,Turkey,True
HIST-00105,2018-03-26 00:00:00+00:00,historical,historical,,Portugal,Netherlands,0,3,Friendly,Geneva,Switzerland,True
HIST-00106,2018-03-26 00:00:00+00:00,historical,historical,,Wales,Uruguay,0,1,Friendly,Nanning,China,True
HIST-00107,2018-03-27 00:00:00+00:00,historical,historical,,Afghanistan,Cambodia,2,1,AFC Asian Cup qualification,Dushanbe,Tajikistan,True
HIST-00108,2018-03-27 00:00:00+00:00,historical,historical,,Algeria,Iran,1,2,Friendly,Graz,Austria,True
HIST-00109,2018-03-27 00:00:00+00:00,historical,historical,,Armenia,Lithuania,0,1,Friendly,Yerevan,Armenia,False
HIST-00110,2018-03-27 00:00:00+00:00,historical,historical,,Australia,Colombia,0,0,Friendly,London,England,True
HIST-00111,2018-03-27 00:00:00+00:00,historical,historical,,Azerbaijan,North Macedonia,1,1,Friendly,Antalya,Turkey,True
HIST-00112,2018-03-27 00:00:00+00:00,historical,historical,,Bahrain,Turkmenistan,4,0,AFC Asian Cup qualification,Riffa,Bahrain,False
HIST-00113,2018-03-27 00:00:00+00:00,historical,historical,,Belgium,Saudi Arabia,4,0,Friendly,Brussels,Belgium,False
HIST-00114,2018-03-27 00:00:00+00:00,historical,historical,,Bosnia and Herzegovina,Senegal,0,0,Friendly,Le Havre,France,True
HIST-00115,2018-03-27 00:00:00+00:00,historical,historical,,Myanmar,Macau,1,0,AFC Asian Cup qualification,Yangon,Myanmar,False
HIST-00116,2018-03-27 00:00:00+00:00,historical,historical,,Central African Republic,Kenya,3,2,Friendly,Marrakesh,Morocco,True
HIST-00117,2018-03-27 00:00:00+00:00,historical,historical,,Denmark,Chile,0,0,Friendly,Aalborg,Denmark,False
HIST-00118,2018-03-27 00:00:00+00:00,historical,historical,,England,Italy,1,1,Friendly,London,England,False
HIST-00119,2018-03-27 00:00:00+00:00,historical,historical,,Georgia,Estonia,2,0,Friendly,Tbilisi,Georgia,False
HIST-00120,2018-03-27 00:00:00+00:00,historical,historical,,Germany,Brazil,0,1,Friendly,Berlin,Germany,False
HIST-00121,2018-03-27 00:00:00+00:00,historical,historical,,Greece,Egypt,1,0,Friendly,Zürich,Switzerland,True
HIST-00122,2018-03-27 00:00:00+00:00,historical,historical,,Hungary,Scotland,0,1,Friendly,Budapest,Hungary,False
HIST-00123,2018-03-27 00:00:00+00:00,historical,historical,,Iraq,Syria,1,1,Friendly,Basra,Iraq,False
HIST-00124,2018-03-27 00:00:00+00:00,historical,historical,,Jordan,Vietnam,1,1,AFC Asian Cup qualification,Amman,Jordan,False
HIST-00125,2018-03-27 00:00:00+00:00,historical,historical,,North Korea,Hong Kong,2,0,AFC Asian Cup qualification,Pyongyang,North Korea,False
HIST-00126,2018-03-27 00:00:00+00:00,historical,historical,,Kosovo,Burkina Faso,2,0,Friendly,Franconville,France,True
HIST-00127,2018-03-27 00:00:00+00:00,historical,historical,,Kyrgyzstan,India,2,1,AFC Asian Cup qualification,Bishkek,Kyrgyzstan,False
HIST-00128,2018-03-27 00:00:00+00:00,historical,historical,,Laos,Bangladesh,2,2,Friendly,Vientiane,Laos,False
HIST-00129,2018-03-27 00:00:00+00:00,historical,historical,,Lebanon,Malaysia,2,1,AFC Asian Cup qualification,Beirut,Lebanon,False
HIST-00130,2018-03-27 00:00:00+00:00,historical,historical,,Luxembourg,Austria,0,4,Friendly,Luxembourg,Luxembourg,False
HIST-00131,2018-03-27 00:00:00+00:00,historical,historical,,Maldives,Bhutan,7,0,AFC Asian Cup qualification,Malé,Maldives,False
HIST-00132,2018-03-27 00:00:00+00:00,historical,historical,,Mexico,Croatia,0,1,Friendly,Arlington,United States,True
HIST-00133,2018-03-27 00:00:00+00:00,historical,historical,,Moldova,Ivory Coast,1,2,Friendly,Beauvais,France,True
HIST-00134,2018-03-27 00:00:00+00:00,historical,historical,,Mongolia,Mauritius,0,2,Friendly,Ulaanbaatar,Mongolia,False
HIST-00135,2018-03-27 00:00:00+00:00,historical,historical,,Montenegro,Turkey,2,2,Friendly,Podgorica,Montenegro,False
HIST-00136,2018-03-27 00:00:00+00:00,historical,historical,,Morocco,Uzbekistan,2,0,Friendly,Casablanca,Morocco,False
HIST-00137,2018-03-27 00:00:00+00:00,historical,historical,,Namibia,Lesotho,2,1,Friendly,Windhoek,Namibia,False
HIST-00138,2018-03-27 00:00:00+00:00,historical,historical,,Oman,Palestine,1,0,AFC Asian Cup qualification,Muscat,Oman,False
