match_id,annex_c,match_number,date,home_team,away_team,home_goals,away_goals,winner,advancement_method
R16-1,M89,89,2026-07-04T21:00:00Z,Paraguay,France,0,1,France,regulation
R16-2,M90,90,2026-07-04T17:00:00Z,Canada,Morocco,0,3,Morocco,regulation
R16-3,M91,91,2026-07-05T20:00:00Z,Brazil,Norway,1,2,Norway,regulation
R16-4,M92,92,2026-07-06T01:00:00Z,Mexico,England,2,3,England,regulation
R16-5,M93,93,2026-07-06T19:00:00Z,Portugal,Spain,0,1,Spain,regulation
R16-6,M94,94,2026-07-07T00:00:00Z,United States,Belgium,1,4,Belgium,regulation
R16-7,M95,95,2026-07-07T16:00:00Z,Argentina,Egypt,3,2,Argentina,regulation
R16-8,M96,96,2026-07-07T20:00:00Z,Switzerland,Colombia,0,0,Switzerland,penalties
