player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1004709,30322,0,0,13,,17436.0,2368063.0,FORMER_NATIONAL_PLAYER
1004709,31269,2,0,13,,21186.0,4173953.0,FORMER_NATIONAL_PLAYER
1004681,16864,6,0,13,,67570.0,4046488.0,CURRENT_NATIONAL_PLAYER
1004681,73100,8,0,19,,66968.0,4176598.0,RECENT_NATIONAL_PLAYER
1004738,7658,1,0,0,,49259.0,4450747.0,RECENT_NATIONAL_PLAYER
1004738,23130,2,0,7,,87784.0,3799627.0,FORMER_NATIONAL_PLAYER
1004728,7658,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1004728,23130,4,0,10,,87784.0,3799627.0,FORMER_NATIONAL_PLAYER
1004725,23130,2,0,17,,87784.0,3799627.0,FORMER_NATIONAL_PLAYER
1004741,7658,18,4,10,,49259.0,3986672.0,RECENT_NATIONAL_PLAYER
1004741,23130,4,1,11,,87784.0,3799627.0,FORMER_NATIONAL_PLAYER
1004983,86322,0,0,0,,,,CURRENT_NATIONAL_PLAYER
10049,9565,13,0,0,,,,FORMER_NATIONAL_PLAYER
1005006,23130,4,0,13,,87784.0,3799627.0,FORMER_NATIONAL_PLAYER
100507,5750,75,0,4,,4161.0,1050050.0,FORMER_NATIONAL_PLAYER
10051,12395,6,0,0,,5224.0,3371616.0,FORMER_NATIONAL_PLAYER
1005242,10831,2,0,19,,18441.0,3799034.0,FORMER_NATIONAL_PLAYER
1005239,10831,1,0,22,,18441.0,3799034.0,FORMER_NATIONAL_PLAYER
1005575,23130,8,0,3,,114565.0,4032042.0,FORMER_NATIONAL_PLAYER
1005575,65623,3,0,3,,98422.0,3796936.0,FORMER_NATIONAL_PLAYER
1005649,3439,1,0,14,,4724.0,4532485.0,RECENT_NATIONAL_PLAYER
10058,9534,15,1,0,,3078.0,1154660.0,FORMER_NATIONAL_PLAYER
10058,16817,9,0,0,,7610.0,1153552.0,FORMER_NATIONAL_PLAYER
10058,19429,11,1,0,,7610.0,3977340.0,FORMER_NATIONAL_PLAYER
10058,22998,9,0,0,,,,FORMER_NATIONAL_PLAYER
10058,23140,13,1,0,,,,FORMER_NATIONAL_PLAYER
10058,28436,1,0,0,,,1165204.0,FORMER_NATIONAL_PLAYER
1005835,16337,5,0,13,,94759.0,4168977.0,FORMER_NATIONAL_PLAYER
1005835,16338,7,1,2,,126069.0,4420225.0,RECENT_NATIONAL_PLAYER
1005835,16339,2,0,2,,100435.0,4230410.0,FORMER_NATIONAL_PLAYER
1005835,23219,8,1,13,,12063.0,3926474.0,FORMER_NATIONAL_PLAYER
1005835,23282,7,0,14,,12063.0,3799631.0,FORMER_NATIONAL_PLAYER
100589,17379,4,0,0,,,,FORMER_NATIONAL_PLAYER
100589,21141,17,2,0,,,,FORMER_NATIONAL_PLAYER
100589,28207,2,0,0,,,,FORMER_NATIONAL_PLAYER
100589,34699,13,1,0,,,,FORMER_NATIONAL_PLAYER
100591,11943,0,0,0,,,,FORMER_NATIONAL_PLAYER
1006,3817,1,0,0,,,,FORMER_NATIONAL_PLAYER
1006,27300,1,0,0,,,,FORMER_NATIONAL_PLAYER
10060,9534,28,5,0,,3078.0,1154672.0,FORMER_NATIONAL_PLAYER
10060,16817,5,1,0,,,,FORMER_NATIONAL_PLAYER
10060,19429,6,1,0,,,,FORMER_NATIONAL_PLAYER
10060,23140,9,1,0,,,,FORMER_NATIONAL_PLAYER
10060,28155,1,0,0,,,,FORMER_NATIONAL_PLAYER
10060,28436,6,0,0,,,1165207.0,FORMER_NATIONAL_PLAYER
1006412,10844,1,0,0,,7201.0,3701999.0,FORMER_NATIONAL_PLAYER
1006410,10844,2,1,0,,7201.0,3701999.0,FORMER_NATIONAL_PLAYER
1006450,16371,17,0,3,,18420.0,4447759.0,RECENT_NATIONAL_PLAYER
1006450,16372,2,0,19,,18420.0,4722240.0,CURRENT_NATIONAL_PLAYER
1006450,16372,0,0,0,,,982113.0,CURRENT_NATIONAL_PLAYER
1006450,23137,14,1,14,,17517.0,4174250.0,FORMER_NATIONAL_PLAYER
1006450,30503,3,0,14,,17517.0,3784009.0,FORMER_NATIONAL_PLAYER
1006450,31372,8,1,15,,17517.0,3941917.0,FORMER_NATIONAL_PLAYER
1006454,16371,4,4,11,,18420.0,4618697.0,RECENT_NATIONAL_PLAYER
1006454,16372,10,4,11,,11925.0,4466947.0,CURRENT_NATIONAL_PLAYER
1006454,23137,21,12,9,,11925.0,3937293.0,FORMER_NATIONAL_PLAYER
